A quoi servent les branchies des poissons ?;a entendre;a manger;a respirer;a se battre;3;science
Au soleil sur la plage,on risque d'attraper ?;des poissons;un rhume;coup de soleil;coup d'amour;3;science
Combien de planete dans le systeme solaire ?;4;7;23;8;4;science
Combien de sens possede l'etre humain ?;5;6;7;8;1;science
Combien y-a t il d'os dans notre corps ?;100;206;354;24;2;science
Couleur du soleil ?;rouge;jaune;bleu;vert;2;science
Le soleil est ?;une planete;une etoile;une orbite;une galaxie;2;science
Quel animal marin possede huit bras ?;le crabe;le phoque;la pieuvre;la torture;3;science
0+0;1;0;tete a toto;tete de toto;2;math
1+1;2;4;3;5;1;math
1+2;1;2;3;4;3;math
1+3;2;3;4;5;3;math
1+4;3;4;6;5;4;math
1+5;2;6;1;7;2;math
1+6;7;3;8;9;1;math
1+7;8;2;7;5;1;math
1+8;2;9;8;10;2;math
1+9;11;12;9;10;4;math
10-0;0;20;12;10;4;math
12+3;9;8;17;15;4;math
14+5;19;15;22;16;1;math
17-14;1;4;3;2;3;math
18-15;1;0;6;3;4;math
19+9;27;25;28;30;3;math
2+2+2+2;2;4;6;8;4;math
2+3-4;0;2;3;1;4;math
2+6;8;9;11;10;1;math
2+9;10;11;8;7;2;math
20-15;6;5;9;3;2;math
20-18;1;6;2;4;3;math
3+7;10;8;9;12;1;math
34-34;-1;0;2;3;2;math
4-0;1;5;3;4;4;math
4+2;2;4;6;8;3;math
5+5;11;13;15;10;4;math
7+0;7;6;2;3;1;math
8+2;8;10;9;13;2;math
8+4;14;11;12;13;3;math
Combien a de cote un quadrilatere ?;2;4;6;8;2;math
Combien le cube a-t-il de sommets ?;2;4;6;8;4;math
Combien un cube a-t-il de aretes ?;6;8;10;12;4;math
Comment s'ecrit en chiffre un million ?;1.000;100.000;1.000.000;10.000.000;3;math
Pour tracer un cercle, j'utilise ?;les ciseaux;la regle;l'equerre;le compas;4;math
Quel est le nom du quadrilatere qui a quatre cotes identiques ?;carre;rectangle;cube;ballon;1;math
Capitale de l'Allemagne ?;Hambourg;Cologne;Lichtenburg;Berlin;4;geographie
Capitale de l'Angleterre ?;Kingston;Liverpool;Londre;Oxford;3;geographie
Capitale de l'Espagne ?;Madrid;Seville;Barcelone;Rosas;1;geographie
Capitale de la France ?;Lille;Paris;Marseille;Lyon;2;geographie
Combien y a t il d'oceans ?;2;3;5;6;3;geographie
Combien y a t il de continents ?;5;6;2;3;2;geographie
Lequel de ces pays n'appartient pas a l'Union europeenne ?;Portugal ;Suisse;France;Espagne;2;geographie
Quel ocean n'existe pas ?;Atlantique;Indien;Pacifique;Mediterranee;4;geographie
Bleu en anglais ;red;yellow;blue;green;3;anglais
Jaune en anglais ;yellow;red;blue;green;1;anglais
Lundi en anglais;Monday;Sunday;Thursday;Friday;1;anglais
Que signfie : a house ?;une souris;une maison;un docteur;un hopital;2;anglais
Que signifie : cat ?;un chat;un chiffre;un ciseau;un fichier;1;anglais
Que signifie : fish ?;viande;eau;poisson;herbe;3;anglais
Que signifie : hello ?;bonjour;au revoir;manger;adieu;1;anglais
Que signifie : pink ?;rouge;rose;voilet;bleu;2;anglais
Rouge en anglais;blue;red;green;yellow;2;anglais
Vert en anglais;red;blue;yellow;green;4;anglais
Quelle periode succede au Moyen age ?;renaissance;republique;age de pierre;temps moderne;1;histoire
Qui a-t-on appele le Roi Soleil ?;Charlemagne;louis XIV;Saint louis;francois 1er;2;histoire
La Bastille etait . . .;un chateau;un monument;une eglise;une prison;4;histoire
En quelle annee a eu lieu la Revolution Francaise ?;1600;1789;1805;1995;2;histoire
Comment appelles-t-on l'ancienne ecriture des egyptiens ?;hieroglyphes;cyrillique;romaine;hebraique;1;histoire
En quelle annee s'est terminee la 1er guerre mondiale ?;1914;1918;1870;2001;2;histoire
Comment est morte Jeanne d'Arc ?;decapitee;brulee;poignardee;pendue;2;histoire
